region year peat_type litter_type ground litter_biomass mortality
north 1990 1 fine_woody_litter above 0.105854038164397 alive
north 1990 1 fine_woody_litter below 0.071533923911846 alive
north 1990 1 non-woody_litter above 0.835783412667765 alive
north 1990 2 fine_woody_litter above 0.0930355346705762 alive
north 1990 2 fine_woody_litter below 0.0630565200712264 alive
north 1990 2 non-woody_litter above 0.585603432155894 alive
north 1990 4 fine_woody_litter above 0.0711999706104116 alive
north 1990 4 fine_woody_litter below 0.0380211243993997 alive
north 1990 4 non-woody_litter above 0.388290070299373 alive
north 1990 6 fine_woody_litter above 0.0466544897184483 alive
north 1990 6 fine_woody_litter below 0.0215388061565843 alive
north 1990 6 non-woody_litter above 0.220666252061438 alive
north 1990 7 fine_woody_litter above 0.056094622643836 alive
north 1990 7 fine_woody_litter below 0.0227503942616482 alive
north 1990 7 non-woody_litter above 0.29446963113393 alive
north 1991 1 fine_woody_litter above 0.107561613442668 alive
north 1991 1 fine_woody_litter below 0.0729116475973192 alive
north 1991 1 non-woody_litter above 0.838359400966059 alive
north 1991 2 fine_woody_litter above 0.0963829833524626 alive
north 1991 2 fine_woody_litter below 0.0649976850797079 alive
north 1991 2 non-woody_litter above 0.595540564097281 alive
north 1991 4 fine_woody_litter above 0.0735990597397692 alive
north 1991 4 fine_woody_litter below 0.0394375742046385 alive
north 1991 4 non-woody_litter above 0.396066730205934 alive
north 1991 6 fine_woody_litter above 0.0477039505393642 alive
north 1991 6 fine_woody_litter below 0.0221333295573025 alive
north 1991 6 non-woody_litter above 0.226386917498424 alive
north 1991 7 fine_woody_litter above 0.0530744834362925 alive
north 1991 7 fine_woody_litter below 0.0216140122601563 alive
north 1991 7 non-woody_litter above 0.276763774941287 alive
north 1992 1 fine_woody_litter above 0.109269188720302 alive
north 1992 1 fine_woody_litter below 0.0742893712822777 alive
north 1992 1 non-woody_litter above 0.840935389263392 alive
north 1992 2 fine_woody_litter above 0.0997304320330982 alive
north 1992 2 fine_woody_litter below 0.0669388500874644 alive
north 1992 2 non-woody_litter above 0.605477696034952 alive
north 1992 4 fine_woody_litter above 0.0759981488682306 alive
north 1992 4 fine_woody_litter below 0.0408540240093481 alive
north 1992 4 non-woody_litter above 0.40384339010959 alive
north 1992 6 fine_woody_litter above 0.048753411359888 alive
north 1992 6 fine_woody_litter below 0.0227278529577985 alive
north 1992 6 non-woody_litter above 0.232107582933273 alive
north 1992 7 fine_woody_litter above 0.0500543442298774 alive
north 1992 7 fine_woody_litter below 0.020477630259089 alive
north 1992 7 non-woody_litter above 0.259057918755262 alive
north 1993 1 fine_woody_litter above 0.110981442286367 alive
north 1993 1 fine_woody_litter below 0.0756708695526745 alive
north 1993 1 non-woody_litter above 0.843518435062909 alive
north 1993 2 fine_woody_litter above 0.103087051806009 alive
north 1993 2 fine_woody_litter below 0.068885333355516 alive
north 1993 2 non-woody_litter above 0.615442052991636 alive
north 1993 4 fine_woody_litter above 0.0784038108436193 alive
north 1993 4 fine_woody_litter below 0.0422743544984543 alive
north 1993 4 non-woody_litter above 0.411641355930791 alive
north 1993 6 fine_woody_litter above 0.0498057474155366 alive
north 1993 6 fine_woody_litter below 0.0233240051895289 alive
north 1993 6 non-woody_litter above 0.237843921424109 alive
north 1993 7 fine_woody_litter above 0.047025930669472 alive
north 1993 7 fine_woody_litter below 0.0193381348826763 alive
north 1993 7 non-woody_litter above 0.241303553374204 alive
north 1994 1 fine_woody_litter above 0.11268901756422 alive
