region year litter
north 1990 0.283975674396727
north 1991 0.228353414254269
north 1992 0.256597866478424
north 1993 0.261493358705621
north 1994 0.276813654459115
north 1995 0.277384760671442
north 1996 0.249044451848798
north 1997 0.270259945342616
north 1998 0.288819804412139
north 1999 0.297752353638615
north 2000 0.308317758158471
north 2001 0.319512564634402
north 2002 0.314164381789646
north 2003 0.324399281080975
north 2004 0.360631112917792
north 2005 0.363879693673649
north 2006 0.340117419466728
north 2007 0.367269273323614
north 2008 0.403561093042511
north 2009 0.333320288463753
north 2010 0.391781207502495
north 2011 0.401130433439369
north 2012 0.396637035165975
north 2013 0.419557831325498
north 2014 0.416559585566979
north 2015 0.413325777466852
north 2016 0.403568868545785
north 2017 0.417671912863998
north 2018 0.461984491615331
north 2019 0.461800782683869
north 2020 0.446473639808941
north 2021 0.460888216065569
south 1990 0.515463270765205
south 1991 0.431136806261946
south 1992 0.480264429078714
south 1993 0.504682177956836
south 1994 0.569314683458078
south 1995 0.590186964616933
south 1996 0.54486720274516
south 1997 0.612026144345291
south 1998 0.635150580198276
south 1999 0.647299777689786
south 2000 0.663454490276714
south 2001 0.643944451406901
south 2002 0.646967118658124
south 2003 0.647606307246006
south 2004 0.67404232201441
south 2005 0.659370899065651
south 2006 0.635377513148494
south 2007 0.689220680248989
south 2008 0.662768323548387
south 2009 0.59239620906062
south 2010 0.688385131811579
south 2011 0.685554775233899
south 2012 0.680639511393907
south 2013 0.751821622802309
south 2014 0.756906655757201
south 2015 0.802020214989231
south 2016 0.835385547110287
south 2017 0.861114756647985
south 2018 0.925437776081169
south 2019 0.875055651094093
south 2020 0.822007895574616
south 2021 0.857377363410291
